Designator,Mid X,Mid Y,Rotation,Layer
R359,174.655,-110.72113,270.0,top
R36,94.645,-70.93363,90.0,top
R360,184.155,-111.32113,0.0,top
R361,186.085,-98.72363,90.0,top
R362,186.085,-101.12363,90.0,top
R363,186.085,-103.52113,270.0,top
R364,186.085,-105.92113,270.0,top
R365,186.085,-108.32113,270.0,top
R366,186.085,-93.92363,90.0,top
R367,186.085,-96.32363,90.0,top
R368,189.985,-89.52113,180.0,top
R369,193.385,-89.52113,0.0,top
R37,94.645,-73.33363,90.0,top
R370,195.685,-89.52113,0.0,top
R371,193.285,-111.32113,0.0,top
R372,190.985,-111.32113,0.0,top
R373,188.685,-111.32113,0.0,top
R374,186.085,-110.72113,270.0,top
R375,195.585,-111.32113,0.0,top
R376,197.515,-98.76363,90.0,top
R377,197.515,-101.16363,90.0,top
R378,197.515,-103.56113,270.0,top
R379,197.515,-105.96113,270.0,top
R38,98.545,-66.53113,180.0,top
R380,197.515,-108.36113,270.0,top
R381,197.515,-93.96363,90.0,top
R382,197.515,-96.36363,90.0,top
R383,201.415,-89.56113,180.0,top
R384,204.815,-89.56113,0.0,top
R385,207.115,-89.56113,0.0,top
R386,204.715,-111.36113,0.0,top
R387,202.415,-111.36113,0.0,top
R388,200.115,-111.36113,0.0,top
R389,197.515,-110.76113,270.0,top
R39,101.945,-66.53113,0.0,top
R390,207.015,-111.36113,0.0,top
R391,208.945,-98.72363,90.0,top
R392,208.945,-101.12363,90.0,top
R393,208.945,-103.52113,270.0,top
R394,208.945,-105.92113,270.0,top
R395,208.945,-108.32113,270.0,top
R396,208.945,-93.92363,90.0,top
R397,208.945,-96.32363,90.0,top
R398,212.845,-89.52113,180.0,top
R399,216.245,-89.52113,0.0,top
R4,71.785,-82.93113,270.0,top
R40,104.245,-66.53113,0.0,top
R400,218.545,-89.52113,0.0,top
R401,216.145,-111.32113,0.0,top
R402,213.845,-111.32113,0.0,top
R403,211.545,-111.32113,0.0,top
R404,208.945,-110.72113,270.0,top
R405,218.445,-111.32113,0.0,top
R406,220.375,-98.72363,90.0,top
R407,220.375,-101.12363,90.0,top
R408,220.375,-103.52113,270.0,top
R409,220.375,-105.92113,270.0,top
R41,101.845,-88.33113,0.0,top
R410,220.375,-108.32113,270.0,top
R411,220.375,-93.92363,90.0,top
R412,220.375,-96.32363,90.0,top
R413,224.275,-89.52113,180.0,top
R414,227.675,-89.52113,0.0,top
R415,229.975,-89.52113,0.0,top
R416,227.575,-111.32113,0.0,top
R417,225.275,-111.32113,0.0,top
R418,222.975,-111.32113,0.0,top
R419,220.375,-110.72113,270.0,top
R42,99.545,-88.33113,0.0,top
R420,229.875,-111.32113,0.0,top
R43,97.245,-88.33113,0.0,top
R44,94.645,-87.73113,270.0,top
R45,104.145,-88.33113,0.0,top
R46,106.075,-75.73363,90.0,top
R47,106.075,-78.13363,90.0,top
R48,106.075,-80.53113,270.0,top
R49,106.075,-82.93113,270.0,top
R5,71.785,-85.33113,270.0,top
R50,106.075,-85.33113,270.0,top
R51,106.075,-70.93363,90.0,top
R52,106.075,-73.33363,90.0,top
R53,109.975,-66.53113,180.0,top
R54,113.375,-66.53113,0.0,top
R55,115.675,-66.53113,0.0,top
R56,113.275,-88.33113,0.0,top
R57,110.975,-88.33113,0.0,top
R58,108.675,-88.33113,0.0,top
R59,106.075,-87.73113,270.0,top
R6,71.785,-70.93363,90.0,top
R60,115.575,-88.33113,0.0,top
R61,117.505,-75.73363,90.0,top
R62,117.505,-78.13363,90.0,top
R63,117.505,-80.53113,270.0,top
R64,117.505,-82.93113,270.0,top
R65,117.505,-85.33113,270.0,top
R66,117.505,-70.93363,90.0,top
R67,117.505,-73.33363,90.0,top
R68,121.405,-66.53113,180.0,top
R69,124.805,-66.53113,0.0,top
R7,71.785,-73.33363,90.0,top
R70,127.105,-66.53113,0.0,top
R71,124.705,-88.33113,0.0,top
R72,122.405,-88.33113,0.0,top
R73,120.105,-88.33113,0.0,top
R74,117.505,-87.73113,270.0,top
R75,127.005,-88.33113,0.0,top
R76,128.935,-75.73363,90.0,top
R77,128.935,-78.13363,90.0,top
R78,128.935,-80.53113,270.0,top
R79,128.935,-82.93113,270.0,top
R8,75.685,-66.53113,180.0,top
R80,128.935,-85.33113,270.0,top
R81,128.935,-70.93363,90.0,top
R82,128.935,-73.33363,90.0,top
R83,132.835,-66.53113,180.0,top
R84,136.235,-66.53113,0.0,top
R85,138.535,-66.53113,0.0,top
R86,136.135,-88.33113,0.0,top
R87,133.835,-88.33113,0.0,top
R88,131.535,-88.33113,0.0,top
R89,128.935,-87.73113,270.0,top
R9,79.085,-66.53113,0.0,top
R90,138.435,-88.33113,0.0,top
R91,140.365,-75.73363,90.0,top
R92,140.365,-78.13363,90.0,top
R93,140.365,-80.53113,270.0,top
R94,140.365,-82.93113,270.0,top
R95,140.365,-85.33113,270.0,top
R96,140.365,-70.93363,90.0,top
R97,140.365,-73.33363,90.0,top
R98,144.265,-66.53113,180.0,top
R99,147.665,-66.53113,0.0,top
S1,66.25,-79.5,90.0,top
S2,66.25,-89.0,90.0,top
S3,66.25,-70.0,90.0,top
S4,66.25,-98.5,90.0,top
S5,66.25,-108.0,90.0,top
SEGD1,77.385,-77.43113,0.0,top
SEGD10,180.255,-77.43113,0.0,top
SEGD11,191.685,-77.43113,0.0,top
SEGD12,203.115,-77.43113,0.0,top
SEGD13,214.545,-77.43113,0.0,top
SEGD14,225.975,-77.43113,0.0,top
SEGD15,77.4,-100.42113,0.0,top
SEGD16,88.815,-100.42113,0.0,top
SEGD17,100.245,-100.42113,0.0,top
SEGD18,111.675,-100.42113,0.0,top
SEGD19,123.105,-100.42113,0.0,top
SEGD2,88.815,-77.43113,0.0,top
SEGD20,134.535,-100.42113,0.0,top
SEGD21,145.965,-100.42113,0.0,top
SEGD22,157.395,-100.42113,0.0,top
SEGD23,168.825,-100.42113,0.0,top
SEGD24,180.255,-100.42113,0.0,top
SEGD25,191.685,-100.42113,0.0,top
SEGD26,203.115,-100.46113,0.0,top
SEGD27,214.545,-100.42113,0.0,top
SEGD28,225.975,-100.42113,0.0,top
SEGD3,100.245,-77.43113,0.0,top
SEGD4,111.675,-77.43113,0.0,top
SEGD5,123.105,-77.43113,0.0,top
SEGD6,134.535,-77.43113,0.0,top
SEGD7,145.965,-77.43113,0.0,top
SEGD8,157.395,-77.43113,0.0,top
SEGD9,168.825,-77.43113,0.0,top
U1,77.385,-72.83113,180.0,bottom
U10,123.1214,-79.88373,90.0,bottom
U11,134.535,-72.83113,180.0,bottom
U12,134.5514,-79.88373,90.0,bottom
U13,145.965,-72.83113,180.0,bottom
U14,145.9814,-79.88373,90.0,bottom
U15,157.395,-72.83113,180.0,bottom
U16,157.4114,-79.88373,90.0,bottom
U17,168.825,-72.83113,180.0,bottom
U18,168.8414,-79.88373,90.0,bottom
U19,180.255,-72.83113,180.0,bottom
U2,77.4014,-79.88373,90.0,bottom
U20,180.2714,-79.88373,90.0,bottom
U21,191.685,-72.83113,180.0,bottom
U22,191.7014,-79.88373,90.0,bottom
U23,203.115,-72.83113,180.0,bottom
U24,203.1314,-79.88373,90.0,bottom
U25,214.545,-72.83113,180.0,bottom
U26,214.5614,-79.88373,90.0,bottom
U27,225.975,-72.83113,180.0,bottom
U28,225.9914,-79.88373,90.0,bottom
U29,77.4,-95.82113,180.0,bottom
U3,88.815,-72.83113,180.0,bottom
U30,77.4164,-102.87373,90.0,bottom
U31,88.815,-95.82113,180.0,bottom
U32,88.8314,-102.87373,90.0,bottom
U33,100.245,-95.82113,180.0,bottom
U34,100.2614,-102.87373,90.0,bottom
U35,111.675,-95.82113,180.0,bottom
U36,111.6914,-102.87373,90.0,bottom
U37,123.105,-95.82113,180.0,bottom
U38,123.1214,-102.87373,90.0,bottom
U39,134.535,-95.82113,180.0,bottom
U4,88.8314,-79.88373,90.0,bottom
U40,134.5514,-102.87373,90.0,bottom
U41,145.965,-95.82113,180.0,bottom
U42,145.9814,-102.87373,90.0,bottom
U43,157.395,-95.82113,180.0,bottom
U44,157.4114,-102.87373,90.0,bottom
U45,168.825,-95.82113,180.0,bottom
U46,168.8414,-102.87373,90.0,bottom
U47,180.255,-95.82113,180.0,bottom
U48,180.2714,-102.87373,90.0,bottom
U49,191.685,-95.82113,180.0,bottom
U5,100.245,-72.83113,180.0,bottom
U50,191.7014,-102.87373,90.0,bottom
U51,203.115,-95.86113,180.0,bottom
U52,203.1314,-102.91373,90.0,bottom
U53,214.545,-95.82113,180.0,bottom
U54,214.5614,-102.87373,90.0,bottom
U55,225.975,-95.82113,180.0,bottom
U56,225.9914,-102.87373,90.0,bottom
U6,100.2614,-79.88373,90.0,bottom
U7,111.675,-72.83113,180.0,bottom
U8,111.6914,-79.88373,90.0,bottom
U9,123.105,-72.83113,180.0,bottom
